,Book_title,Author,ISBN-10,ISBN-13,Category,Description,Cover_link
23,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data 1st Edition","Hadley Wickham, Garrett Grolemund ",1491910399,978-1491910399,Mathematics,"With this book, you'll gain a clear understanding of this discipline for discovering natural laws in the structure of data. Along the way, you'll learn how to use the versatile R programming language for data analysis.Whenever you measure the same thing twice, you get two results--as long as you measure precisely enough. This phenomenon creates uncertainty and opportunity. Author Garrett Grolemund, Master Instructor at RStudio, shows you how data science can help you work with the uncertainty and capture the opportunities. You'll learn about: Data Wrangling--how to manipulate datasets to reveal new informationData Visualization--how to create graphs and other visualizationsExploratory Data Analysis--how to find evidence of relationships in your measurementsModelling--how to derive insights and predictions from your dataInference--how to avoid being fooled by data analyses that cannot provide foolproof resultsThrough the course of the book, you'll also learn about the statistical worldview, a way of seeing the world that permits understanding in the face of uncertainty, and simplicity in the face of complexity.","https://images-na.ssl-images-amazon.com/images/I/512BRANyRxS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
24,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra) ,Barbara Oakley PhD, 039916524X,978-0399165245,Mathematics," A Mind for Numbers offers the tools you need to get a better grasp of that intimidating but inescapable field. In A Mind for Numbers, Dr. Oakley lets us in on the secrets to effectively learning math and science—secrets that even dedicated and successful students wish they’d known earlier. Contrary to popular belief, math requires creative, as well as analytical, thinking. Most people think that there’s only one way to do a problem, when in actuality, there are often a number of different solutions—you just need the creativity to see them. For example, there are more than three hundred different known proofs of the Pythagorean Theorem. In short, studying a problem in a laser-focused way until you reach a solution is not an effective way to learn math. Rather, it involves taking the time to step away from a problem and allow the more relaxed and creative part of the brain to take over. A Mind for Numbers shows us that we all have what it takes to excel in math, and learning it is not as painful as some might think! ","https://images-na.ssl-images-amazon.com/images/I/41WK-w2fOlL._SX331_BO1,204,203,200_.jpg"
25,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,143127535,978-0143127536,Mathematics,"Jordan Ellenberg shows us how terribly limiting this view is: Math isn’t confined to abstract incidents that never occur in real life, but rather touches everything we do—the whole world is shot through with it. Math allows us to see the hidden structures underneath the messy and chaotic surface of our world. It’s a science of not being wrong, hammered out by centuries of hard work and argument. ","https://images-na.ssl-images-amazon.com/images/I/41ZZRc2OiUL._SX320_BO1,204,203,200_.jpg"
26,Cracking the Coding Interview: 189 Programming Questions and Solutions ,Gayle Laakmann McDowell ,984782850,978-0984782857,Computer Science,"The result is this book, learn how to uncover the hints and hidden details in a question, discover how to break down a problem into manageable chunks, develop techniques to unstick yourself when stuck, learn (or re-learn) core computer science concepts, and practice on 189 interview questions and solutions.
These interview questions are real; they are not pulled out of computer science textbooks. They reflect what's truly being asked at the top companies, so that you can be as prepared as possible. WHAT'S INSIDE?
• 189 programming interview questions, ranging from the basics to the trickiest algorithm problems.
• A walk-through of how to derive each solution, so that you can learn how to get there yourself.
• Hints on how to solve each of the 189 questions, just like what you would get in a real interview.
• Five proven strategies to tackle algorithm questions, so that you can solve questions you haven't seen.
• Extensive coverage of essential topics, such as big O time, data structures, and core algorithms.
• A behind the scenes look at how top companies like Google and Facebook hire developers.
• Techniques to prepare for and ace the soft side of the interview: behavioral questions.
• For interviewers and companies: details on what makes a good interview question and hiring process.","https://images-na.ssl-images-amazon.com/images/I/41oYsXjLvZL._SX348_BO1,204,203,200_.jpg"
27,The Personal Internet Address & Password Logbook (removable cover band for security),"Peter Pauper Press, Inc. Peter Pauper Press",1441303251,978-1441303257,Computer Science,"Are you tired of losing track of login/usernames and passwords you must create every time you visit a new website? Do you have sticky notes and scraps of paper scattered about your office and home computer space covered with these vital pieces of information, but never seem to be able to put your hands on them when you need them? Now you can keep important website addresses, usernames, and passwords in one convenient place! Introducing the Personal Internet Address & Password Organizer! 144 pages, including tabbed alphabetical pages. Plenty of room to fill in website addresses, usernames, passwords, and add notes. Spiral binding allows pages to lie flat. Elastic band closure. Includes pages in the back to record additional useful information, such as your home network configuration, software license numbers, and other notes. Removable band and discreet cover design. Measures 4-1/4"" wide x 5-3/4"" high.","https://images-na.ssl-images-amazon.com/images/I/51WHEKUSL2L._SX343_BO1,204,203,200_.jpg"
28,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,1591846447,978-1591846444,Computer Science,"Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty?
In studying the leaders who've had the greatest influence in the world, Simon Sinek discovered that they all think, act, and communicate in the exact same way-and it's the complete opposite of what everyone else does. People like Martin Luther King Jr., Steve Jobs, and the Wright Brothers might have little in common, but they all started with why. Drawing on a wide range of real-life stories, Sinek weaves together a clear vision of what it truly takes to lead and inspire.","https://images-na.ssl-images-amazon.com/images/I/51BlNddi+NL._SX330_BO1,204,203,200_.jpg"
29,"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",Eric Matthes,1593279280,978-1593279288,Computer Science,"This is the second edition of the best selling Python book in the world. Python Crash Course, 2nd Edition is a straightforward introduction to the core of Python programming. Author Eric Matthes dispenses with the sort of tedious, unnecessary information that can get in the way of learning how to program, choosing instead to provide a foundation in general programming concepts, Python fundamentals, and problem solving. Three real world projects in the second part of the book allow readers to apply their knowledge in useful ways. Readers will learn how to create a simple video game, use data visualization techniques to make graphs and charts, and build and deploy an interactive web application. Python Crash Course, 2nd Edition teaches beginners the essentials of Python quickly so that they can build practical programs and develop powerful programming techniques.","https://images-na.ssl-images-amazon.com/images/I/51Z6Vf5UwTL._SX376_BO1,204,203,200_.jpg"
30,"Cryptocurrency Trading Strategies For Beginners: 50+ Tips& Secrets For Day Trading Bitcoin+ Alt Coins, Market Psychology, Technical Analysis& Making A Living In Crypto",Brandon Smith,1801349495,978-1801349499,Computer Science,"Discover How You Can Start Creating Income Today By Trading Bitcoin & Altcoins With These Easy To Follow Strategies & Techniques! First up, any form of trading isn't easy, it isn't a get rich quick scheme and it takes not only work, but skill to consistently profit from the markets. If you are looking for a way to just press a few buttons and make millions, please click off of this book and go and look elsewhere. However, if you are prepared to learn the fundamentals of trading & the Cryptocurrency market, and are prepared to put in the work to develop your skills, then this is the book for YOU. Trading Crypto is different in that you are looking for short term gains, good entry & exit points and analyzing the markets in order to do so. It is not gambling or a side hobby, and if you treat it like that, you are likely to lose money. To be successful you need the correct tools, strategies & market psychology, along with a strong work ethic that is consistent. We are not going to pretend this book will make you into a Rockstar trader overnight, but what it will do is provide you the foundations you need to successfully get started! Are you ready to learn how you can potentially make life changing wealth in the markets? Here's a tiny example of what's inside... Exactly What Trading Is And How It Differs GREATLY From Investing (And Why You Should Have 2 Portfolios As A Crypto Trader) What 'Technical Analysis' Is And You Can Make Sense Of Charts, Candlesticks And More! Why The Cryptocurrency Markets Have SO Much Potential For New Traders & How You Can Take Advantage Of This The 5 BEST Platforms To Trade Crypto On No Matter Where You Are In The World 1 Simple 'Taking Profits' Technique To Guarantee You Don't Lose ALL Your Gains On Your Trades How To Set 'Stop Losses' To Prevent Slight Losses Becoming A Catastrophe... ALL The Fundamentals To Becoming A Successful Trader Including Market Psychology & Healthy Habits! And SO Much More.","https://images-na.ssl-images-amazon.com/images/I/51zAL5LCU9L._SX311_BO1,204,203,200_.jpg"
31,High Performance Browser Networking: What every web developer should know about networking and web performance,Ilya Grigorik,1449344763,978-1449344764,Networking & Cloud Computing,"How prepared are you to build fast and efficient web applications? This eloquent book provides what every web developer should know about the network, from fundamental limitations that affect performance to major innovations for building even more powerful browser applications—including HTTP 2.0 and XHR improvements, Server-Sent Events (SSE), WebSocket, and WebRTC. Author Ilya Grigorik, a web performance engineer at Google, demonstrates performance optimization best practices for TCP, UDP, and TLS protocols, and explains unique wireless and mobile network optimization requirements. You’ll then dive into performance characteristics of technologies such as HTTP 2.0, client-side network scripting with XHR, real-time streaming with SSE and WebSocket, and P2P communication with WebRTC. Deliver superlative TCP, UDP, and TLS performance Speed up network performance over 3G/4G mobile networks
Develop fast and energy-efficient mobile applications
Address bottlenecks in HTTP 1.x and other browser protocols
Plan for and deliver the best HTTP 2.0 performance
Enable efficient real-time streaming in the browser
Create efficient peer-to-peer videoconferencing and low-latency applications with real-time WebRTC transports.","https://images-na.ssl-images-amazon.com/images/I/51tSl2hh5UL._SX379_BO1,204,203,200_.jpg"
32,"Blockchain Bubble or Revolution: The Future of Bitcoin, Blockchains, and Cryptocurrencies","Neel Mehta, Aditya Agashe , Parth Detroja",‎ 0578528150,978-0578528151,Networking & Cloud Computing,"Some experts say that cryptocurrencies and blockchains are just a scam; others say they're ""the most important invention since the internet."" It's hard to tell who's right. Authored by Product Managers from Google, Microsoft, and Facebook, Bubble or Revolution cuts through the hype to offer a balanced, comprehensive, and accessible analysis of blockchains and cryptocurrencies. You'll learn the core concepts of these technologies and understand their strengths and weaknesses from real-world case studies; dive deep into their technical, economic, political, and legal complexities; and gain insights about their future from exclusive interviews with dozens of tech industry leaders. No coding or math needed.
• How Bitcoin and blockchains work from a technical perspective with no assumed technical knowledge
• Satoshi Nakamoto and the history of Bitcoin, the original blockchain
• A thorough overview of crucial crypto concepts (eg. blocks, keys, mining, nodes, etc.)
• Frameworks for understanding when it actually makes sense to use blockchain
• Major application scenarios for blockchain and cryptocurrencies and where it'll fall flat
• Emerging trends in blockchain technology
• What you should know before buying any cryptocurrency
• An overview of Etherum and smart contracts
• An overview of the strengths and weaknesses of the top altcoins and stable coins, including Monero (XMR), Tether (USDT), and Bitcoin Cash (BCH)
• Alternatives to blockchain and cryptocurrencies
• New kinds of decentralized ledger technology (dlt)
• The economics of both traditional payment methods and cryptocurrencies
• Cryptocurrency security best practices and major breach case studies
• How blockchain, cryptocurrencies, and traditional banking and finance will interact with one another in the future
• Public blockchains vs private blockchains
• Limitations and shortcomings of public blockchains and cryptocurrencies
• The role of blockchain in the strategy of top tech companies like Facebook and Microsoft
• Case studies of how non-tech companies are effectively utilizing blockchain (eg. Walmart using it to prevent foodborne illness)
• Business blockchain case studies ranging from gaming (e.g. Xbox) to cloud services (e.g. Microsoft Azure's blockchain-as-a-service and Amazon's AWS offering)
• Blockchain's use for big data, internet of things (IoT), and machine learning (ML)
• Cryptocurrency regulation and policy
• ICOs vs STOs vs IPOs
","https://images-na.ssl-images-amazon.com/images/I/51HWjNWv4cL._SX322_BO1,204,203,200_.jpg"
33,The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind,"Daniel J. Siegel, Tina Payne Bryson",553386697,978-0553386691,Medical Science,"""NEW YORK TIMES ""BESTSELLER Simple, smart, and effective solutions to your child s struggles. Harvey Karp, M.D. Daniel Siegel and Tina Payne Bryson have created a masterly, reader-friendly guide to helping children grow their emotional intelligence. This brilliant method transforms everyday interactions into valuable brain-shaping moments. Anyone who cares for children or who loves a child should read ""The Whole-Brain Child."" Daniel Goleman, author of"" Emotional Intelligence"" In this pioneering, practical book, Daniel J. Siegel, neuropsychiatrist and author of the bestselling ""Mindsight,"" and parenting expert Tina Payne Bryson offer a revolutionary approach to child rearing with twelve key strategies that foster healthy brain development, leading to calmer, happier children. The authors explain and make accessible the new science of how a child s brain is wired and how it matures. The upstairs brain, which makes decisions and balances emotions, is under construction until the mid-twenties. And especially in young children, the right brain and its emotions tend to rule over the logic of the left brain. No wonder kids throw tantrums, fight, or sulk in silence. By applying these discoveries to everyday parenting, you can turn any outburst, argument, or fear into a chance to integrate your child s brain and foster vital growth. Complete with age-appropriate strategies for dealing with day-to-day struggles and illustrations that will help you explain these concepts to your child, ""The Whole-Brain Child"" shows you how to cultivate healthy emotional and intellectual development so that your children can lead balanced, meaningful, and connected lives. A] useful child-rearing resource for the entire family . . . The authors include a fair amount of brain science, but they present it for both adult and child audiences. "" Kirkus Reviews"" """" Strategies for getting a youngster to chill out with] compassion. "" The Washington Post"" """" This erudite, tender, and funny book is filled with fresh ideas based on the latest neuroscience research. I urge all parents who want kind, happy, and emotionally healthy kids to read ""The Whole-Brain Child."" This is my new baby gift. Mary Pipher, Ph.D., author of ""Reviving Ophelia"" and ""The Shelter of Each Other"" Gives parents and teachers ideas to get all parts of a healthy child s brain working together. "" Parent to Parent""""","https://images-na.ssl-images-amazon.com/images/I/41+maVpBeUL._SX322_BO1,204,203,200_.jpg"
