Book_title,Author,ISBN-10,ISBN-13,Category,Description,Cover_link
Algebra 1 Workbook: The Self-Teaching Guide and Practice Workbook with Exercises and Related Explained Solution. You Will Get and Improve Your Algebra 1 Skills and Knowledge from A to Z ,Richard Carter,1790340098,978-1790340095,Mathematics,"This book contains: Basic operations, number and integers, properties, rules and tips Monomials, Binomials and Polynomials operations How to find Least Common Multiple and Greatest Common Factor, Factorization and Prime Numbers Different types of expressions, and related ways of solutions Different types of equations, Inequalities and Functions with the related ways of solutions. In this book, you will find some of the most important topics regarding algebra. These include but are not limited to the following: understanding integers and basic operations, inequalities and one-step operations; fractions and factors; the main rules of arithmetic; linear equations in the coordinate plane, expressions, equations and functions; real numbers; solving linear equations; visualizing linear functions, linear equations, linear inequalities, systems of linear equations and inequalities; exponents and exponential function; polynomials, quadratic equations, radical expression, radical equations, rational expressions; and finally, intermediate topics in algebra.","https://images-na.ssl-images-amazon.com/images/I/51g8hMBR6xL._SX332_BO1,204,203,200_.jpg"
Freakonomics Revised and Expanded Edition: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner ",63032376,978-0063032378,Mathematics,"In this groundbreaking book, leading economist Steven Levitt--Professor of Economics at the University of Chicago and winner of the American Economic Association's John Bates Clark medal for the economist under 40 who has made the greatest contribution to the discipline--reveals that the answers. Joined by acclaimed author and podcast host Stephen J. Dubner, Levitt presents a brilliant--and brilliantly entertaining--account of how incentives of the most hidden sort drive behavior in ways that turn conventional wisdom on its head.","https://images-na.ssl-images-amazon.com/images/I/51NVRXSH9fL._SX330_BO1,204,203,200_.jpg"
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data 1st Edition","Hadley Wickham, Garrett Grolemund ",1491910399,978-1491910399,Mathematics,"You'll learn about: Data Wrangling--how to manipulate datasets to reveal new informationData Visualization--how to create graphs and other visualizationsExploratory Data Analysis--how to find evidence of relationships in your measurementsModelling--how to derive insights and predictions from your dataInference--how to avoid being fooled by data analyses that cannot provide foolproof resultsThrough the course of the book, you'll also learn about the statistical worldview, a way of seeing the world that permits understanding in the face of uncertainty, and simplicity in the face of complexity.","https://images-na.ssl-images-amazon.com/images/I/512BRANyRxS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra) ,Barbara Oakley PhD, 039916524X,978-0399165245,Mathematics," A Mind for Numbers offers the tools you need to get a better grasp of that intimidating but inescapable field. In A Mind for Numbers, Dr. Oakley lets us in on the secrets to effectively learning math and science—secrets that even dedicated and successful students wish they’d known earlier. Contrary to popular belief, math requires creative, as well as analytical, thinking. Most people think that there’s only one way to do a problem, when in actuality, there are often a number of different solutions—you just need the creativity to see them. For example, there are more than three hundred different known proofs of the Pythagorean Theorem. In short, studying a problem in a laser-focused way until you reach a solution is not an effective way to learn math. Rather, it involves taking the time to step away from a problem and allow the more relaxed and creative part of the brain to take over. A Mind for Numbers shows us that we all have what it takes to excel in math, and learning it is not as painful as some might think! ","https://images-na.ssl-images-amazon.com/images/I/41WK-w2fOlL._SX331_BO1,204,203,200_.jpg"
How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,143127535,978-0143127536,Mathematics,"Jordan Ellenberg shows us how terribly limiting this view is: Math isn’t confined to abstract incidents that never occur in real life, but rather touches everything we do—the whole world is shot through with it. Math allows us to see the hidden structures underneath the messy and chaotic surface of our world. It’s a science of not being wrong, hammered out by centuries of hard work and argument. ","https://images-na.ssl-images-amazon.com/images/I/41ZZRc2OiUL._SX320_BO1,204,203,200_.jpg"
Cracking the Coding Interview: 189 Programming Questions and Solutions ,Gayle Laakmann McDowell ,984782850,978-0984782857,Computer Science," WHAT'S INSIDE?
• 189 programming interview questions, ranging from the basics to the trickiest algorithm problems.
• A walk-through of how to derive each solution, so that you can learn how to get there yourself.
• Five proven strategies to tackle algorithm questions, so that you can solve questions you haven't seen.
• Extensive coverage of essential topics, such as big O time, data structures, and core algorithms.
• A behind the scenes look at how top companies like Google and Facebook hire developers.
• Techniques to prepare for and ace the soft side of the interview: behavioral questions.
• For interviewers and companies","https://images-na.ssl-images-amazon.com/images/I/41oYsXjLvZL._SX348_BO1,204,203,200_.jpg"
The Personal Internet Address & Password Logbook (removable cover band for security),"Peter Pauper Press, Inc. Peter Pauper Press",1441303251,978-1441303257,Computer Science,"Are you tired of losing track of login/usernames and passwords you must create every time you visit a new website? Do you have sticky notes and scraps of paper scattered about your office and home computer space covered with these vital pieces of information, but never seem to be able to put your hands on them when you need them? Now you can keep important website addresses, usernames, and passwords in one convenient place! Introducing the Personal Internet Address & Password Organizer! 144 pages, including tabbed alphabetical pages. Plenty of room to fill in website addresses, usernames, passwords, and add notes. Spiral binding allows pages to lie flat. Elastic band closure. Includes pages in the back to record additional useful information, such as your home network configuration, software license numbers, and other notes. Removable band and discreet cover design. ","https://images-na.ssl-images-amazon.com/images/I/51WHEKUSL2L._SX343_BO1,204,203,200_.jpg"
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,1591846447,978-1591846444,Computer Science,"Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty?
In studying the leaders who've had the greatest influence in the world, Simon Sinek discovered that they all think, act, and communicate in the exact same way-and it's the complete opposite of what everyone else does. People like Martin Luther King Jr., Steve Jobs, and the Wright Brothers might have little in common, but they all started with why. Drawing on a wide range of real-life stories, Sinek weaves together a clear vision of what it truly takes to lead and inspire.","https://images-na.ssl-images-amazon.com/images/I/51BlNddi+NL._SX330_BO1,204,203,200_.jpg"
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",Eric Matthes,1593279280,978-1593279288,Computer Science,"This is the second edition of the best selling Python book in the world. Python Crash Course, 2nd Edition is a straightforward introduction to the core of Python programming. Author Eric Matthes dispenses with the sort of tedious, unnecessary information that can get in the way of learning how to program, choosing instead to provide a foundation in general programming concepts, Python fundamentals, and problem solving. Three real world projects in the second part of the book allow readers to apply their knowledge in useful ways. Readers will learn how to create a simple video game, use data visualization techniques to make graphs and charts, and build and deploy an interactive web application. Python Crash Course, 2nd Edition teaches beginners the essentials of Python quickly so that they can build practical programs and develop powerful programming techniques.","https://images-na.ssl-images-amazon.com/images/I/51Z6Vf5UwTL._SX376_BO1,204,203,200_.jpg"
"Cryptocurrency Trading Strategies For Beginners: 50+ Tips& Secrets For Day Trading Bitcoin+ Alt Coins, Market Psychology, Technical Analysis& Making A Living In Crypto",Brandon Smith,1801349495,978-1801349499,Computer Science,"Are you ready to learn how you can potentially make life changing wealth in the markets? Here's a tiny example of what's inside... Exactly What Trading Is And How It Differs GREATLY From Investing (And Why You Should Have 2 Portfolios As A Crypto Trader) What 'Technical Analysis' Is And You Can Make Sense Of Charts, Candlesticks And More! Why The Cryptocurrency Markets Have SO Much Potential For New Traders & How You Can Take Advantage Of This The 5 BEST Platforms To Trade Crypto On No Matter Where You Are In The World 1 Simple 'Taking Profits' Technique To Guarantee You Don't Lose ALL Your Gains On Your Trades How To Set 'Stop Losses' To Prevent Slight Losses Becoming A Catastrophe... ALL The Fundamentals To Becoming A Successful Trader Including Market Psychology & Healthy Habits!","https://images-na.ssl-images-amazon.com/images/I/51zAL5LCU9L._SX311_BO1,204,203,200_.jpg"
High Performance Browser Networking: What every web developer should know about networking and web performance,Ilya Grigorik,1449344763,978-1449344764,Networking & Cloud Computing,"How prepared are you to build fast and efficient web applications? This eloquent book provides what every web developer should know about the network, from fundamental limitations that affect performance to major innovations for building even more powerful browser applications.
Develop fast and energy-efficient mobile applications
Address bottlenecks in HTTP 1.x and other browser protocols
Plan for and deliver the best HTTP 2.0 performance
Enable efficient real-time streaming in the browser
Create efficient peer-to-peer videoconferencing and low-latency applications with real-time WebRTC transports.","https://images-na.ssl-images-amazon.com/images/I/51tSl2hh5UL._SX379_BO1,204,203,200_.jpg"
"Blockchain Bubble or Revolution: The Future of Bitcoin, Blockchains, and Cryptocurrencies","Neel Mehta, Aditya Agashe , Parth Detroja",‎ 0578528150,978-0578528151,Networking & Cloud Computing,"Some experts say that cryptocurrencies and blockchains are just a scam; others say they're ""the most important invention since the internet."" It's hard to tell who's right. Authored by Product Managers from Google, Microsoft, and Facebook, Bubble or Revolution cuts through the hype to offer a balanced, comprehensive, and accessible analysis of blockchains and cryptocurrencies. You'll learn the core concepts of these technologies and understand their strengths and weaknesses from real-world case studies; dive deep into their technical, economic, political, and legal complexities; and gain insights about their future from exclusive interviews with dozens of tech industry leaders. No coding or math needed.","https://images-na.ssl-images-amazon.com/images/I/51HWjNWv4cL._SX322_BO1,204,203,200_.jpg"
The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind,"Daniel J. Siegel, Tina Payne Bryson",553386697,978-0553386691,Medical Science,"The authors explain and make accessible the new science of how a child s brain is wired and how it matures. The upstairs brain, which makes decisions and balances emotions, is under construction until the mid-twenties. And especially in young children, the right brain and its emotions tend to rule over the logic of the left brain. No wonder kids throw tantrums, fight, or sulk in silence. By applying these discoveries to everyday parenting, you can turn any outburst, argument, or fear into a chance to integrate your child s brain and foster vital growth. Complete with age-appropriate strategies for dealing with day-to-day struggles and illustrations that will help you explain these concepts to your child, ""The Whole-Brain Child"" shows you how to cultivate healthy emotional and intellectual development so that your children can lead balanced, meaningful, and connected lives. A] useful child-rearing resource for the entire family . . . The authors include a fair amount of brain science, but they present it for both adult and child audiences. "" Kirkus Reviews"" """" Strategies for getting a youngster to chill out with] compassion.","https://images-na.ssl-images-amazon.com/images/I/41+maVpBeUL._SX322_BO1,204,203,200_.jpg"
Networking All-in-One For Dummies,Doug Lowe,1119689015,978-1119689010,Networking & Cloud Computing,"Networking All-in-One For Dummie s covers all the basic and not-so-basic information you need to get a network up and running. It also helps you keep it running as it grows more complicated, develops bugs, and encounters all the fun sorts of trouble you expect from a complex system. Ideal both as a starter for newbie administrators and as a handy quick reference for pros, this book is built for speed, allowing you to get past all the basics--like installing and configuring hardware and software, planning your network design, and managing cloud services. covers the essential, up-to-date information for networking in systems such as Linux and Windows 10 and clues you in on best practices for security, mobile, and more. Plan and administrate your network Implement virtualization Get your head around networking in the Cloud Lock down your security protocols.","https://images-na.ssl-images-amazon.com/images/I/51dnDxGy45L._SX397_BO1,204,203,200_.jpg"
AWS Certified Solutions Architect Study Guide: Associate SAA-CO2 Exam (Aws Certified Solutions Architect Official: Associate Exam),"David Clinton, Ben Piper",1119713080,978-1119713081,Networking & Cloud Computing,"Associate (SAA-C02) Exam, Third Edition comprehensively and efficiently prepares you for the SAA-C02 Exam. The study guide contains robust and effective study tools. The guide grants you access to the regularly updated Sybex online learning environment and test bank, which contains hundreds of test questions, bonus practice exams, electronic flashcards, and a glossary of key terms. In this study guide show you how to: Design resilient architectures Create high-performing architectures Craft secure applications and architectures Design cost-optimized architectures Perfect for anyone who hopes to begin a new career as an Amazon Web Services cloud professional, the study guide also belongs on the bookshelf of any existing AWS professional who wants to brush up on the fundamentals of their profession.","https://images-na.ssl-images-amazon.com/images/I/41+ikCfRnzS._SX258_BO1,204,203,200_.jpg"
Networking Made Easy: Get Yourself Connected (Computers Made Easy),James Bernstein,1720034109,978-1720034100,Networking & Cloud Computing,"Networking Made Easy is designed to take your overall networking skills from a beginner to the next level. Get a top-level understanding without a complex education. This easy to use guide will help you navigate your way to becoming proficient with network fundamentals and technology.
Chapter 1 – What is a Network?
Chapter 2 – Networking hardware
Chapter 3 – Network Cabling
Chapter 4 – Wireless Networking
Chapter 5 – IP Addressing
Chapter 6 - Protocols
Chapter 7 – The Internet
Chapter 8 – Windows Networking
Chapter 9- Virtualization & Cloud Computing
Chapter 10 – Network Troubleshooting","https://images-na.ssl-images-amazon.com/images/I/513G+Vz3aPL._SX348_BO1,204,203,200_.jpg"
CWT-100: Certified Wireless Technician: Official Study Guide,Tom Carpenter,997160748,978-0997160741,Networking & Cloud Computing,"The CWT Official Study Guide covers all objectives for the CWT-2017 exam and prepares the student to install, configured and troubleshooting basic 802.11 wireless technologies.","https://images-na.ssl-images-amazon.com/images/I/51OVZZmxvwL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
National Electrical Code 2020,National Fire Protection Association ,1455922978,978-1455922970,Computer Science,"Based on the 2020 National Electrical Code (NEC), the NATIONAL ELECTRICAL CODE 2020 softbound edition includes the most current requirements and emerging topics, such as renewable energy and energy storage, to help protect and build a safer world.","https://images-na.ssl-images-amazon.com/images/I/41QQrauPygL._SX384_BO1,204,203,200_.jpg"
Pilot's Handbook of Aeronautical Knowledge: FAA-H-8083-25B (ASA FAA Handbook Series),Federal Aviation Administration (FAA)/Aviation Supplies & Academics (ASA),1619544733,978-1619544734,Computer Science,"Providing basic knowledge essential for all pilots, from beginning students through to the more advanced certificates. Studying this book, pilots gain the required knowledge to earn a certificate and understand aerodynamic theory associated with airplane flight. This invaluable learning tool begins with a basic introduction to flying and a history of flight, then explores the role of the FAA, criteria for earning the various pilot certificates, how to select a flight school and instructor, and the tests associated with earning a pilot certificate. Topics covered include aeronautical decision making, aircraft construction, principles of flight, aerodynamics of flight, flight controls, aircraft systems, flight instruments, flight manuals and other documents, weight and balance, aircraft performance, weather theory, aviation weather services, airport operations, airspace, navigation, and aeromedical factors. Appendices provide additional support including acronyms, abbreviations, and NOTAM contractions, airport signs and markings, a glossary and index.","https://images-na.ssl-images-amazon.com/images/I/51t3YcpgS1L._SX382_BO1,204,203,200_.jpg"
The 48 Laws of Power,Robert Greene,140280197,978-0140280197,Business,"A moral, cunning, ruthless, and instructive, this piercing work distills three thousand years of the history of power into forty-eight well-explicated laws. As attention-grabbing in its design as it is in its content, this bold volume outlines the laws of power in their unvarnished essence, synthesizing the philosophies of Machiavelli, Sun-tzu, Carl von Clausewitz, and other great thinkers. Some laws require prudence (""Law 1: Never Outshine the Master""), some stealth (""Law 3: Conceal Your Intentions""), and some the total absence of mercy (""Law 15: Crush Your Enemy Totally"") but like it or not, all have applications in real-life situations.","https://images-na.ssl-images-amazon.com/images/I/41JIh4KMHRL._SX355_BO1,204,203,200_.jpg"
The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition) ,"Benjamin Graham, Jason Zweig, Warren E. Buffett",60555661,978-0060555665,Business,"The greatest investment advisor of the twentieth century, Benjamin Graham taught and inspired people worldwide. Graham's philosophy of ""value investing""--which shields investors from substantial error and teaches them to develop long-term strategies--has made The Intelligent Investor the stock market bible ever since its original publication in 1949.
Over the years, market developments have proven the wisdom of Graham's strategies. While preserving the integrity of Graham's original text, this revised edition includes updated commentary by noted financial journalist Jason Zweig, whose perspective incorporates the realities of today's market, draws parallels between Graham's examples and today's financial headlines, and gives readers a more thorough understanding of how to apply Graham's principles.","https://images-na.ssl-images-amazon.com/images/I/51fESaIGgVL._SX323_BO1,204,203,200_.jpg"
